,road,county,city,state
7262,West Canal Drive,Stanislaus County,Turlock,California
7263,Carmen Court,San Diego County,,California
7264,Avenue D,San Bernardino County,,California
7265,Tamarack Court,Fresno County,,California
7266,International Boulevard,Alameda County,Oakland,California
7267,Menlo Avenue,Los Angeles County,Los Angeles,California
7268,Pacific Coast Highway,Los Angeles County,Long Beach,California
7269,Valley Boulevard,San Bernardino County,Fontana,California
7270,Henderson Way,Sacramento County,,California
7271,Bird Way,Los Angeles County,Long Beach,California
7272,,San Joaquin County,,California
7273,San Gabriel River Bike Path,Los Angeles County,City of Industry,California
7274,Waldears Path,Calaveras County,,California
7275,Stanford Avenue,Los Angeles County,Los Angeles,California
7276,Forest Route 1N01,Tuolumne County,,California
7277,Sunglow Street,Los Angeles County,,California
7278,Sea View Drive,Contra Costa County,,California
7279,Fillmore Street,,San Francisco,California
7280,Clarkdale Avenue,Los Angeles County,Norwalk,California
7281,Washington Street,,San Francisco,California
7282,Farris Road,Butte County,,California
7283,West Barbour Street,Riverside County,Banning,California
7284,East 14th Street,Alameda County,,California
7285,West Norwood Street,San Bernardino County,,California
7286,South Bay Bike Path,Los Angeles County,,California
7287,Cole Street,,San Francisco,California
7288,West Magnolia Boulevard,Los Angeles County,Burbank,California
7289,Via Covello,Santa Barbara County,,California
7290,East 48th Place,Los Angeles County,Los Angeles,California
7291,Rosarita Drive,San Bernardino County,,California
7292,Heather Drive,San Joaquin County,Stockton,California
7293,James Lick Freeway,,San Francisco,California
7294,East Lerdo Highway,Kern County,Shafter,California
7295,West 135th Street,Los Angeles County,,California
7296,West Huntington Drive,Los Angeles County,,California
7297,South Rimpau Boulevard,Los Angeles County,Los Angeles,California
7298,Paseo Lucido,San Diego County,San Diego,California
7299,Parker Street,Alameda County,Berkeley,California
7300,Sterling Road,Kern County,Bakersfield,California
7301,Carmel Avenue,Contra Costa County,,California
7302,West Cricklewood Court,Tulare County,Porterville,California
7303,South Occidental Boulevard,Los Angeles County,Los Angeles,California
7304,Ferndale Drive,Santa Barbara County,,California
7305,Riverside Freeway,Riverside County,Riverside,California
7306,La Reina Avenue,Los Angeles County,Downey,California
7307,South 3rd Avenue,Los Angeles County,Inglewood,California
7308,Orange Avenue,Alameda County,,California
7309,Valley View Avenue,Los Angeles County,,California
7310,Kings Village Road,Santa Cruz County,Scotts Valley,California
7311,Saint Elmo Drive,San Bernardino County,San Bernardino,California
7312,2nd Avenue,,San Francisco,California
7313,Seneca Street,Alameda County,Oakland,California
7314,Road 26,Madera County,,California
7315,,Colusa County,,California
7316,Mc Kinley Street,San Mateo County,San Mateo,California
7317,Geary Boulevard,,San Francisco,California
7318,Quail Street,San Bernardino County,,California
7319,Blue Lake Springs Drive,Calaveras County,,California
7320,83rd Street,Kern County,,California
7321,Plum Street,San Diego County,San Diego,California
7322,,Imperial County,,California
7323,South Stockton Street,San Joaquin County,Lodi,California
7324,West 124th Street,Los Angeles County,Los Angeles,California
7325,Coronado Way,San Mateo County,,California
7326,Carmel Way,Monterey County,,California
7327,Sierra Way,San Diego County,Chula Vista,California
7328,West 28th Street,Los Angeles County,Los Angeles,California
7329,Lancaster Road,Contra Costa County,Walnut Creek,California
7330,Kensington Lane,Orange County,Garden Grove,California
7331,Mines Avenue,Los Angeles County,,California
7332,Hallmark Drive,San Mateo County,,California
7333,Kennebec Street,Ventura County,Ventura,California
7334,Stella Drive,Mendocino County,,California
7335,,Plumas County,,California
7336,Boughton Place,Los Angeles County,Los Angeles,California
7337,Sir Barton Court,Placer County,,California
7338,Autumn Leaf Drive,San Diego County,,California
7339,Beach Boulevard,Orange County,Huntington Beach,California
7340,West 65th Place,Los Angeles County,Los Angeles,California
7341,Parker Street,Alameda County,Berkeley,California
7342,Oroville Bangor Highway,Butte County,,California
7343,Corte Morera,San Diego County,Carlsbad,California
7344,Stevens Avenue,Los Angeles County,,California
7345,Rambler Way,Sacramento County,,California
7346,Poppy Peak Drive,Los Angeles County,Pasadena,California
7347,25th Avenue,Santa Cruz County,,California
7348,North Pleasant Avenue,Fresno County,Fresno,California
7349,West Main Street,Imperial County,,California
7350,West 65th Place,Los Angeles County,Los Angeles,California
7351,Ardilla Road,San Luis Obispo County,,California
7352,Sequoia Street,Shasta County,Redding,California
7353,Claeys Street,Contra Costa County,,California
7354,C Street,Fresno County,Fresno,California
7355,La Jolla Mesa Drive,San Diego County,San Diego,California
7356,,Tulare County,,California
7357,,Kern County,Taft,California
7358,Mimosa Place,San Diego County,,California
7359,Crockett Street,San Diego County,,California
7360,Greenwich Street,,San Francisco,California
7361,Airport Boulevard,Riverside County,,California
7362,Los Coyotes Diagonal,Los Angeles County,Long Beach,California
7363,San Gabriel River Bike Path,Los Angeles County,City of Industry,California
7364,Astoria Street,Los Angeles County,Los Angeles,California
7365,South Spaulding Avenue,Los Angeles County,Los Angeles,California
7366,Riverside Avenue,San Luis Obispo County,,California
7367,Acacia Street,Los Angeles County,,California
7368,Nixon Drive,Riverside County,Riverside,California
7369,Mulberry Court,San Benito County,,California
7370,Kiowa Road,Orange County,,California
7371,Witherspoon Way,San Diego County,El Cajon,California
7372,,Mariposa County,,California
7373,Amalfi Street,Orange County,Cypress,California
7374,West Commonwealth Avenue,Orange County,,California
7375,Scenic Lane,Butte County,Chico,California
7376,Shasta Court,Solano County,,California
7377,Wilbur Road,Butte County,,California
7378,North Murry Street,Tulare County,Porterville,California
7379,Avenue 432,Fresno County,,California
7380,Musso Road,Placer County,,California
7381,Saddlewood Street,Sacramento County,,California
7382,West Court Street,Los Angeles County,Los Angeles,California
7383,Sutter Avenue,Stanislaus County,Modesto,California
7384,West 1st Street,Los Angeles County,,California
7385,Stone Canyon Avenue,Los Angeles County,Los Angeles,California
7386,Allgeyer Avenue,Los Angeles County,El Monte,California
7387,East Byrd Avenue,Fresno County,Fresno,California
7388,Chester Airport Road,Plumas County,,California
7389,,Madera County,,California
7390,Bahler Street,Riverside County,,California
7391,,San Bernardino County,Victorville,California
7392,Bledsoe Street,Los Angeles County,Los Angeles,California
7393,Dodson Street,Los Angeles County,El Monte,California
7394,Hixon Circle,Sacramento County,,California
7395,,Sonoma County,,California
7396,South Halladay Street,Orange County,Santa Ana,California
7397,Roscoe Boulevard,Los Angeles County,Los Angeles,California
7398,Baldwin Street,Los Angeles County,Los Angeles,California
7399,Yearling Street,Los Angeles County,,California
7400,South Fremont Street,San Mateo County,San Mateo,California
7401,,Mendocino County,,California
7402,Avenue 264,Tulare County,,California
7403,Monastery Trail,San Diego County,San Diego,California
7404,La Crescenta Avenue,Los Angeles County,,California
7405,Sequoia Street,Shasta County,Redding,California
7406,Green Tree Boulevard,San Bernardino County,Victorville,California
7407,West 26th Street,San Bernardino County,San Bernardino,California
7408,North Ditman Avenue,Los Angeles County,,California
7409,Fremont Street,Santa Clara County,Santa Clara,California
7410,South Normandie Avenue,Los Angeles County,,California
7411,Del Monte Avenue,Monterey County,Monterey,California
7412,West H Street,San Bernardino County,,California
7413,Olive Avenue,San Mateo County,South San Francisco,California
7414,Lincoln Avenue,Sacramento County,,California
7415,Woodland Drive,Ventura County,,California
7416,Saint Clair Avenue,Los Angeles County,Los Angeles,California
7417,Longwood Way,Sacramento County,,California
7418,Michel Road,Calaveras County,,California
7419,Ivy Avenue,San Bernardino County,,California
7420,Lenore Drive,Orange County,Garden Grove,California
7421,Leota Avenue,Santa Clara County,Sunnyvale,California
7422,Robin Ridge Road,Tuolumne County,,California
7423,West Beverly Boulevard,Los Angeles County,,California
7424,Port Road 21,San Joaquin County,Stockton,California
7425,Loma Avenue,Los Angeles County,Long Beach,California
7426,West 65th Street,Los Angeles County,Los Angeles,California
7427,Stanford Avenue,Los Angeles County,Los Angeles,California
7428,Santa Ana Freeway,Orange County,Anaheim,California
7429,East Bridger Avenue,Tulare County,,California
7430,Bay Highway,Sonoma County,,California
7431,North Oakland Avenue,Los Angeles County,Pasadena,California
7432,Roleen Drive,Solano County,Vallejo,California
7433,Peninsula Avenue,,San Francisco,California
7434,Minnehaha Street,Los Angeles County,Los Angeles,California
7435,13th Street,Fresno County,,California
7436,Meadowbrook Circle,Contra Costa County,,California
7437,Salt Lake Avenue,Los Angeles County,,California
7438,Laurelei Avenue,Santa Clara County,San Jose,California
7439,Hiddenlake Drive,Santa Clara County,Sunnyvale,California
7440,Pueblo Drive,San Bernardino County,,California
7441,West 33rd Street,San Bernardino County,San Bernardino,California
7442,Willow Street,Santa Clara County,San Jose,California
7443,Midvale Place,Los Angeles County,,California
7444,Milton Road,Stanislaus County,,California
7445,South Normandie Avenue,Los Angeles County,Los Angeles,California
7446,Olympic Boulevard,Los Angeles County,Santa Monica,California
7447,East 95th Street,Los Angeles County,Los Angeles,California
7448,,Los Angeles County,Los Angeles,California
7449,West Orangethorpe Avenue,Orange County,,California
7450,Tahan Lane,Sacramento County,,California
7451,Chapman Road,Los Angeles County,,California
7452,Perch Circle,Orange County,Huntington Beach,California
7453,Morrison Street,Los Angeles County,Los Angeles,California
7454,Virginia Avenue,Los Angeles County,,California
7455,,San Bernardino County,,California
7456,Randall Avenue,Solano County,Vacaville,California
7457,West Arrow Highway,San Bernardino County,,California
7458,Edgemont Drive,San Bernardino County,,California
7459,Eastern Avenue,Humboldt County,,California
7460,West Jefferson Boulevard,Los Angeles County,Los Angeles,California
7461,Parkmont Drive,Santa Clara County,San Jose,California
7462,North Tigertail Road,Los Angeles County,Los Angeles,California
7463,South Street,Los Angeles County,Long Beach,California
7464,La Crescenta Avenue,Los Angeles County,,California
7465,East 47th Place,Los Angeles County,Los Angeles,California
7466,Carfax Avenue,Los Angeles County,,California
7467,Jarvis Avenue,Alameda County,,California
7468,Chestnut Street,,San Francisco,California
7469,Yucca Drive,Imperial County,El Centro,California
7470,South Halladay Street,Orange County,Santa Ana,California
7471,Avenue H,San Bernardino County,,California
7472,El Camino Real,San Luis Obispo County,,California
7473,Guirado Street,Los Angeles County,Los Angeles,California
7474,West Briggsmore Avenue,Stanislaus County,Modesto,California
7475,Doe Lane,Riverside County,,California
7476,Greenwich Street,,San Francisco,California
7477,South Barcelona Street,San Diego County,,California
7478,Santa Ana Boulevard,Orange County,Santa Ana,California
7479,Walnut Drive,Los Angeles County,,California
7480,Orangepath Street,Los Angeles County,,California
7481,,San Bernardino County,,California
7482,Burton Avenue,Sonoma County,,California
7483,South Anaheim Boulevard,Orange County,Anaheim,California
7484,Avenue de Palma,Riverside County,,California
7485,Guirado Street,Los Angeles County,Los Angeles,California
7486,Cabrillo Highway,Monterey County,,California
7487,Lincoln Road,Sutter County,,California
7488,East Yale Avenue,Fresno County,Fresno,California
7489,Hillsdale Blvd Revekstok D Alley,Sacramento County,,California
7490,Railroad Avenue,Sonoma County,,California
7491,McKinney Way,Orange County,,California
7492,Rice Canyon Road,San Diego County,,California
7493,,Fresno County,,California
7494,Running Gold Road,Amador County,,California
7495,Broadway,Los Angeles County,,California
7496,Parker Court,Santa Clara County,Santa Clara,California
7497,Harbor Freeway,Los Angeles County,Los Angeles,California
7498,Liberty Street,Alameda County,,California
7499,Stuart Avenue,San Bernardino County,,California
7500,Road 144,Tulare County,,California
7501,Buena Vista Avenue,Orange County,,California
7502,Lewis Avenue,Los Angeles County,Long Beach,California
7503,Heather Road,Sacramento County,,California
7504,Redwood Avenue,San Mateo County,South San Francisco,California
7505,Oriole Court,Contra Costa County,,California
7506,34th Street,Sacramento County,Sacramento,California
7507,Rocky Creek Road,Lake County,,California
7508,West Victoria Street,Santa Barbara County,Santa Barbara,California
7509,Rye Canyon Loop,Los Angeles County,Santa Clarita,California
7510,Aetna Street,Los Angeles County,Los Angeles,California
7511,Richmond Parkway,Contra Costa County,Richmond,California
7512,Keller Street,Stanislaus County,Modesto,California
7513,Santa Monica Road,Santa Barbara County,,California
7514,Mills Court,San Diego County,,California
7515,Branford Road,San Diego County,San Diego,California
7516,Falcon Street,San Diego County,San Diego,California
7517,Quill Alley,Sacramento County,Sacramento,California
7518,North Barton Square,Fresno County,,California
7519,19th Street,Contra Costa County,,California
7520,Pleasant Avenue,Marin County,,California
7521,Sunset Avenue,Madera County,Madera,California
7522,,Riverside County,,California
7523,Ridge Road,Mendocino County,,California
7524,Parkmont Drive,Alameda County,Fremont,California
7525,Union Street,San Bernardino County,Victorville,California
7526,Kelton Avenue,Los Angeles County,Los Angeles,California
7527,Redwood Highway,Marin County,,California
7528,East Terrace Way,Kern County,Bakersfield,California
7529,West 37th Place,Los Angeles County,Los Angeles,California
7530,Alta Vista Drive,San Diego County,Vista,California
7531,Meadow Drive,Nevada County,,California
7532,Duane Street,Los Angeles County,Los Angeles,California
7533,East Beach Avenue,Los Angeles County,Inglewood,California
7534,Harbor Boulevard,Orange County,Santa Ana,California
7535,Third Street,Marin County,San Rafael,California
7536,,Fresno County,Fresno,California
7537,Belgrade Street,Orange County,,California
7538,South Union Avenue,Los Angeles County,Los Angeles,California
7539,Foothill Boulevard,Los Angeles County,Glendale,California
7540,Fairfax Avenue,Los Angeles County,Los Angeles,California
7541,West Linwood Avenue,Stanislaus County,,California
7542,South Centre City Parkway,San Diego County,Escondido,California
7543,Lassen Street,Los Angeles County,Los Angeles,California
7544,Linden Street,Alameda County,Oakland,California
7545,Rural Access,Santa Clara County,San Jose,California
7546,,Stanislaus County,,California
7547,Citadel Avenue,Ventura County,Ventura,California
7548,Cowell Boulevard,Yolo County,,California
7549,Larkspur Boardwalk 1,Marin County,Larkspur,California
7550,West Las Lanas Lane,Orange County,,California
7551,Rio Road,Riverside County,,California
7552,Rose Avenue,Mendocino County,,California
7553,Avenue E,Los Angeles County,,California
7554,Saticoy Street,Los Angeles County,Los Angeles,California
7555,Marjorie Avenue,Los Angeles County,Torrance,California
7556,Williamston Street,San Diego County,Vista,California
7557,Georgia Drive,Sacramento County,,California
7558,Falcon Point Place,Nevada County,,California
7559,South La Brea Avenue,Los Angeles County,,California
7560,Beachy Avenue,Los Angeles County,Los Angeles,California
7561,Gilbert Street,Shasta County,Redding,California
7562,Upper Great Highway,,San Francisco,California
7563,Tremont Way,Los Angeles County,Long Beach,California
7564,Parrish Avenue,Los Angeles County,Los Angeles,California
7565,Harwood Street,San Diego County,San Diego,California
7566,Avenida Chapala,San Diego County,,California
7567,Pruneridge Avenue,Santa Clara County,Santa Clara,California
7568,Slater Lane,Alameda County,Oakland,California
7569,De Mattei Court,Santa Clara County,San Jose,California
7570,Parker Creek Drive,Humboldt County,,California
7571,West Keats Avenue,Fresno County,,California
7572,Gladstone Drive,,San Francisco,California
7573,Edgemont Drive,San Bernardino County,,California
7574,East Kettering Street,Los Angeles County,Lancaster,California
7575,West 47th Place,Los Angeles County,Los Angeles,California
7576,Ralph Appezzato Memorial Parkway,Alameda County,,California
7577,Ramona Boulevard,Los Angeles County,Irwindale,California
7578,Ranchero Road,Ventura County,,California
7579,West Brighton Avenue,Imperial County,El Centro,California
7580,Via Serpiente,Orange County,,California
7581,Harrison Street,Fresno County,Coalinga,California
7582,Alameda Street,Los Angeles County,,California
7583,29th Street,Contra Costa County,Richmond,California
7584,Hunt Drive,San Mateo County,,California
7585,Towne Center Plaza,San Diego County,San Diego,California
7586,,El Dorado County,,California
7587,Elm Avenue,San Diego County,Imperial Beach,California
7588,Baker Drive,Orange County,Huntington Beach,California
7589,Ceylon Drive,Orange County,Costa Mesa,California
7590,West 16th Street,Los Angeles County,Los Angeles,California
7591,Orange Drive,Los Angeles County,,California
7592,West Washington Boulevard,Los Angeles County,Los Angeles,California
7593,Alabama Avenue,Los Angeles County,Los Angeles,California
7594,Follow Me,Mono County,,California
7595,West 3rd Street,Los Angeles County,Los Angeles,California
7596,East Grand Avenue,San Diego County,Escondido,California
7597,Calle Sierra,San Diego County,,California
7598,Whiskeytown-Shasta-Trinity Nra,Shasta County,,California
7599,East Hemlock Street,Ventura County,Oxnard,California
7600,Alameda Avenue,Santa Barbara County,,California
7601,Belknap Way,San Diego County,San Diego,California
7602,East Rialto Avenue,San Bernardino County,San Bernardino,California
7603,Sky Haven Lane,San Diego County,Oceanside,California
7604,Carroll Lane,Butte County,,California
7605,Road 196,Tulare County,,California
7606,Chuckwagon Road,Fresno County,Squaw Valley,California
7607,La Rochelle Drive,Los Angeles County,Santa Clarita,California
7608,Spyglass Ridge Road,Santa Barbara County,,California
7609,Red Fir Road,Siskiyou County,,California
7610,South Boyle Avenue,Los Angeles County,Los Angeles,California
7611,East Olive Branch Way,Orange County,Anaheim,California
7612,Calle Amanecer,Orange County,San Clemente,California
7613,Pacific Coast Highway,Los Angeles County,Long Beach,California
7614,Avenida Andante,San Diego County,Oceanside,California
7615,Calle de la Magdalena,Orange County,,California
7616,Nelson Alley,Los Angeles County,Pasadena,California
7617,Taylor Street,Kern County,Bakersfield,California
7618,Circle R Drive,San Diego County,,California
7619,Spring Hill Road,Sonoma County,,California
7620,Hancock Drive,Sacramento County,,California
7621,North Pleasant Avenue,Fresno County,Fresno,California
7622,Dowlen Drive,Los Angeles County,,California
7623,State Street,San Bernardino County,Pomona,California
7624,Charles Benson Road,Monterey County,,California
7625,Westmont Drive,Los Angeles County,,California
7626,West Lower Jones Road,San Joaquin County,,California
7627,Rockwood Drive,Nevada County,,California
7628,East Del Mar Boulevard,Los Angeles County,Pasadena,California
7629,West Yale Avenue,Fresno County,Fresno,California
7630,Hesperian Boulevard,Alameda County,,California
7631,Crowley Street,Los Angeles County,Los Angeles,California
7632,San Simeon Way,Santa Clara County,San Jose,California
7633,South Manchester Avenue,Orange County,Anaheim,California
7634,Viarna Street,Los Angeles County,,California
7635,Cliff Drive,Orange County,Newport Beach,California
7636,Newport Avenue,Santa Clara County,San Jose,California
7637,Grant Road,Santa Clara County,,California
7638,Silver Grove Drive,Los Angeles County,,California
7639,Abinante Lane,Santa Clara County,San Jose,California
7640,Avenida de la Vista,Orange County,,California
7641,Loma Vista Avenue,Santa Clara County,,California
7642,Caliente Drive,Alameda County,,California
7643,East 22nd Street,Los Angeles County,Los Angeles,California
7644,Reservoir Road,Santa Clara County,,California
7645,Gross Avenue,Los Angeles County,Los Angeles,California
7646,Winrock Avenue,Los Angeles County,,California
7647,Tremont Way,Los Angeles County,Long Beach,California
7648,Sunset Place East,Orange County,,California
7649,East 115th Place,Los Angeles County,Los Angeles,California
7650,Hereford Drive,Los Angeles County,,California
7651,Rocky Canyon Road,San Luis Obispo County,,California
7652,Victoria Avenue,Los Angeles County,South Gate,California
7653,Cory Drive,Los Angeles County,Inglewood,California
7654,East Madison Avenue,San Diego County,El Cajon,California
7655,Meuse Avenue,Los Angeles County,Los Angeles,California
7656,Hearthstone Drive,Napa County,,California
7657,Buchanan Way,Alameda County,Hayward,California
7658,Opera Alley,Sacramento County,Sacramento,California
7659,Ralston Avenue,Marin County,,California
7660,Bessemer Street,Los Angeles County,Los Angeles,California
7661,Bell Avenue,Kern County,Taft,California
7662,Duke Path,Contra Costa County,Richmond,California
7663,The Alameda,Alameda County,Berkeley,California
7664,,Solano County,,California
7665,Harmon Street,Alameda County,Berkeley,California
7666,Alta Street,Orange County,,California
7667,Bryant Street,Santa Clara County,Palo Alto,California
7668,Gault Street,Los Angeles County,Los Angeles,California
7669,West 77th Street,Los Angeles County,Los Angeles,California
7670,West Acacia Avenue,Los Angeles County,,California
7671,San Vincente Avenue,Los Angeles County,South Gate,California
7672,East 1st Street,Los Angeles County,Los Angeles,California
7673,Willamette Avenue,Fresno County,,California
7674,Carey Drive,Contra Costa County,Concord,California
7675,Rattlesnake Ridge Trail,Los Angeles County,,California
7676,Thelma Avenue,Orange County,La Palma,California
7677,Sunview Avenue,Marin County,,California
7678,West Pine Avenue,Santa Barbara County,,California
7679,South Alameda Street,Los Angeles County,,California
7680,Primrose Road,San Mateo County,,California
7681,Maine Avenue,Los Angeles County,Long Beach,California
7682,Locust Street,Stanislaus County,Turlock,California
7683,West 238th Street,Los Angeles County,Torrance,California
7684,,Merced County,,California
7685,Read Road,Ventura County,Thousand Oaks,California
7686,Isabel Street,Los Angeles County,Los Angeles,California
7687,Harte Way,Sacramento County,Sacramento,California
7688,Peabody Road,Solano County,Vacaville,California
7689,21st Street West,Los Angeles County,Lancaster,California
7690,Marvin Gardens Street,Stanislaus County,Modesto,California
7691,,Tulare County,,California
7692,Clermont Street,Los Angeles County,Los Angeles,California
7693,Mandalay Drive,Los Angeles County,Los Angeles,California
7694,Eton Place,Orange County,Orange,California
7695,Orange Freeway,Orange County,,California
7696,Commonwealth Avenue,Orange County,Buena Park,California
7697,Bruce Avenue,Los Angeles County,,California
7698,Cabana Drive,Butte County,,California
7699,,Fresno County,,California
7700,Boulevard Way,Contra Costa County,Walnut Creek,California
7701,Baker Creek Road,Inyo County,,California
7702,Kaiser Creek Avenue,Tulare County,,California
7703,Sally Street,San Benito County,,California
7704,Broadway Avenue,Santa Clara County,San Jose,California
7705,Enslen Avenue,Stanislaus County,Modesto,California
7706,Bentwood,Orange County,,California
7707,Franklin Street,Napa County,Napa,California
7708,South Fairfax Avenue,Los Angeles County,Los Angeles,California
7709,Clarksburg Path,Yolo County,,California
7710,I Avenue,San Diego County,,California
7711,Olive Street,San Diego County,,California
7712,Professional Drive,Placer County,,California
7713,Jarvis Avenue,Los Angeles County,,California
7714,Wizard Hat,Santa Cruz County,Santa Cruz,California
7715,San Andreas Trail,Santa Clara County,,California
7716,Nordhoff Way,Los Angeles County,Los Angeles,California
7717,Leary Road,Sacramento County,,California
7718,Roscoe Boulevard,Los Angeles County,Los Angeles,California
7719,San Diego Freeway,San Diego County,San Diego,California
7720,Cypress Avenue,San Diego County,,California
7721,Metro Orange Line (G) Busway,Los Angeles County,Los Angeles,California
7722,Boise Court,Santa Clara County,Sunnyvale,California
7723,Hickoryhill Drive,San Diego County,,California
7724,47th Avenue,Sacramento County,Sacramento,California
7725,,Los Angeles County,Long Beach,California
7726,,Monterey County,Monterey,California
7727,Coyote Road,Santa Clara County,San Jose,California
7728,Effie Street,Los Angeles County,Los Angeles,California
7729,Slater Avenue,Orange County,,California
7730,West Orchard Court,Tulare County,Visalia,California
7731,Mosaic Circle,San Diego County,Oceanside,California
7732,Harbor Boulevard,Orange County,,California
7733,Carleton Street,Alameda County,Berkeley,California
7734,Forster Canyon Trail,Orange County,,California
7735,Alta Street,Orange County,,California
7736,Sunborg Court,Sacramento County,Sacramento,California
7737,Norwood Street,San Bernardino County,,California
7738,Russell Avenue,Los Angeles County,,California
7739,Younglove Avenue,Santa Cruz County,Santa Cruz,California
7740,San Julian Place,San Diego County,,California
7741,Cedar Street,Santa Barbara County,,California
7742,Negley Drive,San Diego County,San Diego,California
7743,Jones Lane,Butte County,,California
7744,Edgewater Terrace,Los Angeles County,Los Angeles,California
7745,Division Street,Los Angeles County,Long Beach,California
7746,North Leonard Street,Los Angeles County,,California
7747,Escuela Parkway,Santa Clara County,Milpitas,California
7748,Meadowview Road,Sacramento County,Sacramento,California
7749,El Fuerte Street,San Diego County,Carlsbad,California
7750,Bolanos Avenue,Los Angeles County,,California
7751,Leona Avenue,San Luis Obispo County,San Luis Obispo,California
7752,Gregory Street,San Diego County,,California
7753,Brodrick Avenue,Merced County,,California
7754,Huston Street,Los Angeles County,Los Angeles,California
7755,Delicata Drive,Orange County,,California
7756,Bailey Road,Riverside County,,California
7757,Calamar Drive,San Diego County,San Diego,California
7758,North Martel Avenue,Los Angeles County,Los Angeles,California
7759,Santa Monica Freeway,Los Angeles County,Los Angeles,California
7760,Cave Lane,San Joaquin County,Stockton,California
7761,Longview Drive,San Mateo County,,California
7762,South 15th Street,Humboldt County,,California
7763,A Street,Los Angeles County,,California
7764,,Lake County,,California
7765,Pine Street,,San Francisco,California
7766,New Water Road,San Joaquin County,,California
7767,Stewart Road,Sacramento County,,California
7768,West Granada Street,San Bernardino County,,California
7769,Paula Drive,Santa Clara County,,California
7770,Withrow Road,Shasta County,,California
7771,Portola Way,Sacramento County,Sacramento,California
7772,East la Jolla Street,Orange County,Anaheim,California
7773,,Tuolumne County,,California
7774,Sunset Place East,Orange County,,California
7775,Alcala Court,San Mateo County,,California
7776,North Bald Mountain Road,Tuolumne County,,California
7777,Appaloosa Lane,San Bernardino County,,California
7778,Juniper Street,San Diego County,San Diego,California
7779,Esperanza Street,Los Angeles County,Los Angeles,California
7780,Wesley Avenue,Los Angeles County,Pasadena,California
7781,23rd Avenue,Alameda County,Oakland,California
7782,Ronada Avenue,Alameda County,,California
7783,Armour Road,Sutter County,,California
7784,Malcolm Avenue,Los Angeles County,Los Angeles,California
7785,Caminito Santico,San Diego County,San Diego,California
7786,23rd Avenue,,San Francisco,California
7787,South Central Avenue,Los Angeles County,Los Angeles,California
7788,Faust Avenue,Los Angeles County,Los Angeles,California
7789,South Union Street,San Joaquin County,Stockton,California
7790,Orchard Avenue,Tehama County,,California
7791,Jordan Street,Nevada County,,California
7792,Glendon Avenue,Los Angeles County,Los Angeles,California
7793,Display Way,Sacramento County,Sacramento,California
7794,Nashville Avenue,Los Angeles County,,California
7795,North 1st Avenue,San Bernardino County,,California
7796,North Fuller Avenue,Los Angeles County,Los Angeles,California
7797,Capitol Avenue,Sacramento County,Sacramento,California
7798,University Avenue,San Diego County,San Diego,California
7799,Michele Lane,Sacramento County,Sacramento,California
7800,West Gutierrez Street,Santa Barbara County,Santa Barbara,California
7801,Cowles Mountain Boulevard,San Diego County,San Diego,California
7802,South Doheny Drive,Los Angeles County,,California
7803,25th Avenue,Santa Cruz County,,California
7804,Stuart Street,Alameda County,Berkeley,California
7805,El Camino Avenue,Sacramento County,,California
7806,West California Avenue,Los Angeles County,Glendale,California
7807,Larchmont Drive,Sacramento County,,California
7808,Haley Street,Kern County,Bakersfield,California
7809,Gothard Street,Orange County,Huntington Beach,California
7810,South Citrus Avenue,Los Angeles County,Los Angeles,California
7811,Toad Lake Road 40N64,Siskiyou County,,California
7812,Palos Verdes Drive,San Mateo County,San Mateo,California
7813,S Street,Sacramento County,Sacramento,California
7814,Ocean Park Boulevard,Los Angeles County,Santa Monica,California
7815,South Fairway Street,Tulare County,Visalia,California
7816,Tanner Court,Stanislaus County,,California
7817,North Macy Street,San Bernardino County,San Bernardino,California
7818,Wilson Terrace,Los Angeles County,Glendale,California
7819,Cascade Wonderland Highway,Siskiyou County,,California
7820,Ontario Drive,Tuolumne County,,California
7821,Oak Street,Orange County,Costa Mesa,California
7822,,Imperial County,,California
7823,Elk Grove Lane,Orange County,,California
7824,Via Tortuga,San Luis Obispo County,,California
7825,Kraft Avenue,Los Angeles County,Los Angeles,California
7826,,Sutter County,,California
7827,South 30th Street,San Diego County,San Diego,California
7828,Hetzler Road,Los Angeles County,,California
7829,,Solano County,,California
7830,Summit Lake Drive,Napa County,,California
7831,Bay Trail,Contra Costa County,Richmond,California
7832,Bryant Avenue,Alameda County,Oakland,California
7833,,Lake County,,California
7834,Arrow Boulevard,San Bernardino County,Fontana,California
7835,Corinthian Court,Marin County,Tiburon,California
7836,Pacific Coast Highway,Los Angeles County,Long Beach,California
7837,44th Street,San Diego County,San Diego,California
7838,Cerritos Avenue,Orange County,Anaheim,California
7839,Athens Street,,San Francisco,California
7840,Marisma Street,San Mateo County,San Mateo,California
7841,Rio Hondo Bike Path,Los Angeles County,,California
7842,Via Rita,San Diego County,Santee,California
7843,South H Street,San Bernardino County,San Bernardino,California
7844,Woodland Road,Marin County,,California
7845,Los Feliz Boulevard,Los Angeles County,Los Angeles,California
7846,Kenwood Street,Los Angeles County,Burbank,California
7847,Shafter Street,San Diego County,San Diego,California
7848,Park Avenue,Santa Clara County,Palo Alto,California
7849,Menlo Avenue,Los Angeles County,Los Angeles,California
7850,Eucalyptus Avenue,Merced County,Livingston,California
7851,Cardinal Avenue,San Joaquin County,,California
7852,Golden Avenue,Los Angeles County,Downey,California
7853,Petaluma Boulevard South,Sonoma County,Petaluma,California
